"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-24",,,"0.77",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","48",",,Z","30",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-25",,,"0.00","T,,Z,2400","0.0",",,Z,","0.0",",,Z,2400","37",",,Z","17",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-26",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0",",,Z,2400","35",",,Z","15",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-27",,,"1.17",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","50",",,Z","35",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-28",,,"0.00","T,,Z,2400","0.0",",,Z,","0.0",",,Z,2400","35",",,Z","15",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-29",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","37",",,Z","13",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-30",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","44",",,Z","19",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-31",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","58",",,Z","31",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-01",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","51",",,Z","31",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-02",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","63",",,Z","38",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-03",,,"0.33",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","45",",,Z","35",",,Z",,,,,,,,,,,,,,,,
